kegg,smiles,mass,formula,pubchem,chebi
C00455,C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)[O-])O)O)C(=O)N,334.0566,C11H15N2O8P,14180,CHEBI:16171
C00460,C1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O,467.9736,C9H15N2O14P3,65070,CHEBI:17625
C00466,CC(C(=O)C)O,88.0524,C4H8O2,179,CHEBI:15688
C00468,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=C3C=CC(=C4)O,270.162,C18H22O2,5870,CHEBI:17263
C00472,C1=CC(=O)C=CC1=O,108.0211,C6H4O2,4650,CHEBI:16509
C00473,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/CO)/C)/C,286.2297,C20H30O,445354,CHEBI:17336
C00474,C([C@H](C([C@H](CO)O)O)O)O,152.0685,C5H12O5,NA,CHEBI:15963
C00475,C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O,243.0855,C9H13N3O5,6175,CHEBI:17562
C00482,COC1=CC(=CC(=C1O)OC)/C=C/C(=O)O,224.0685,C11H12O5,637775,CHEBI:15714
C00483,C1=CC(=CC=C1CCN)O,137.0841,C8H11NO,5610,CHEBI:15760
C00489,C(CC(=O)O)CC(=O)O,132.0423,C5H8O4,23322899,CHEBI:17859
C00490,C=C(CC(=O)O)C(=O)O,130.0266,C5H6O4,811,CHEBI:30838
C00491,C([C@@H](C(=O)O)N)SSC[C@@H](C(=O)O)N,240.0238,C6H12N2O4S2,67678,CHEBI:16283
C00492,C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@H](O2)O[C@]3([C@H]([C@@H]([C@H](O3)CO)O)O)CO)O)O)O)O)O)O)O,504.169,C18H32O16,439242,CHEBI:16634
C00499,C(C(=O)O)(NC(=O)N)NC(=O)N,176.0546,C4H8N4O4,203,CHEBI:30837
C00500,CC\1=C(/C(=C/C2=C(C(=C(N2)/C=C\3/C(=C(C(=O)N3)C)C=C)C)CCC(=O)O)/N/C1=C\C4=NC(=O)C(=C4C)C=C)CCC(=O)O,582.2478,C33H34N4O6,NA,CHEBI:17033
C00503,C([C@H]([C@H](CO)O)O)O,122.0579,C4H10O4,222285,CHEBI:17113
C00504,C1=CC(=CC=C1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)N=C(N3)N,441.1397,C19H19N7O6,6037,CHEBI:27470
C00506,C([C@@H](C(=O)O)N)S(=O)(=O)O,169.0045,C3H7NO5S,72886,CHEBI:17285
C00509,C1[C@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,272.0685,C15H12O5,439246,CHEBI:17846
C00510,CCCCCCCC/C=C\CCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O,1031.3605,C39H68N7O17P3S,5497111,CHEBI:15534
C00517,CCCCCCCCCCCCCCCC=O,240.2453,C16H32O,984,CHEBI:17600
C00519,C(CS(=O)O)N,109.0197,C2H7NO2S,107812,CHEBI:16668
C00523,C[C@]12CC[C@H](C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C)O,290.2246,C19H30O2,5879,CHEBI:16032
C00526,C1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)CO)O,228.0746,C9H12N2O5,13712,CHEBI:16450
C00527,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)CCCC(=O)O)O,881.1469,C26H42N7O19P3S,3081383,CHEBI:15524
C00530,C1=CC(=CC=C1O)O,110.0368,C6H6O2,785,CHEBI:17594
C00534,CC1=NC=C(C(=C1O)CN)CO,168.0899,C8H12N2O2,1052,CHEBI:16410
C00535,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@]34C,288.2089,C19H28O2,6013,CHEBI:17347
C00542,C(CSCC(C(=O)O)N)C(C(=O)O)N,222.0674,C7H14N2O4S,4083111,CHEBI:17755
C00544,C1=CC(=C(C=C1O)CC(=O)O)O,168.0423,C8H8O4,780,NA
C00547,C1=CC(=C(C=C1[C@H](CN)O)O)O,169.0739,C8H11NO3,439260,CHEBI:18357
C00548,CC(=O)OC1=CC=CC=C1,136.0524,C8H8O2,31229,CHEBI:8082
C00552,[C@@H]([C@@H](C(=O)O)O)(C(=O)O)O,150.0164,C4H6O6,447315,CHEBI:15673
C00559,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2N=CN=C3N)CO)O,251.1018,C10H13N5O3,13730,CHEBI:17256
C00561,C1=CC=C(C=C1)[C@H](C#N)O,133.0528,C8H7NO,9548674,CHEBI:18450
C00568,C1=CC(=CC=C1C(=O)O)N,137.0477,C7H7NO2,7057990,CHEBI:30753
C00570,C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OCCN)O)O,446.0604,C11H20N4O11P2,123727,CHEBI:16732
C00571,C1CCC(CC1)N,99.1048,C6H13N,7965,CHEBI:15773
C00576,C[N+](C)(C)CC=O,102.0919,C5H12NO,249,CHEBI:15710
C00581,C(C(=O)O)N=C(N)N,117.0538,C3H7N3O2,3946848,CHEBI:16344
C00584,CCCCC[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1C/C=C\CCCC(=O)O)O)O,352.225,C20H32O5,5280360,CHEBI:15551
C00587,C1=CC(=CC(=C1)O)C(=O)O,138.0317,C7H6O3,7420,CHEBI:30764
C00588,C[N+](C)(C)CCOP(=O)(O)O,184.0739,C5H15NO4P,1014,CHEBI:18132
C00590,COC1=C(C=CC(=C1)/C=C/CO)O,180.0786,C10H12O3,1549095,CHEBI:17745
C00606,C([C@@H](C(=O)O)N)S(=O)O,153.0096,C3H7NO4S,1549098,CHEBI:16345
C00611,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O)O,383.1428,C14H25NO11,439271,CHEBI:16153
C00624,CC(=O)N[C@@H](CCC(=O)O)C(=O)O,189.0637,C7H11NO5,70914,CHEBI:17533
C00627,CC1=NC=C(C(=C1O)CO)COP(=O)(O)O,249.0402,C8H12NO6P,1055,CHEBI:28803
C00630,CC(C)C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O,837.1571,C25H42N7O17P3S,3036931,CHEBI:15479
C00631,C([C@H](C(=O)O)OP(=O)(O)O)O,185.9929,C3H7O7P,439278,CHEBI:17835
C00632,C1=CC(=C(C(=C1)O)N)C(=O)O,153.0426,C7H7NO3,86,CHEBI:15793
C00636,C([C@@H]1[C@H]([C@@H]([C@@H]([C@H](O1)OP(=O)(O)O)O)O)O)O,260.0297,C6H13O9P,439279,CHEBI:18205
C00642,C1=CC(=CC=C1CC(=O)O)O,152.0473,C8H8O3,127,CHEBI:18101
C00645,CC(=O)N[C@H]1[C@H]([C@@H]([C@H](OC1O)CO)O)O,221.0899,C8H15NO6,439281,CHEBI:63153
C00647,CC1=NC=C(C(=C1O)CN)COP(=O)(O)O,248.0562,C8H13N2O5P,1053,CHEBI:18335
C00655,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)NC(=O)NC2=O,364.042,C10H13N4O9P,73323,CHEBI:15652
C00666,C(C[C@@H](C(=O)O)N)C[C@@H](C(=O)O)N,190.0954,C7H14N2O4,1549100,CHEBI:16026
C00669,C(CC(=O)N[C@@H](CS)C(=O)O)[C@@H](C(=O)O)N,250.0623,C8H14N2O5S,123938,NA
C00670,C[N+](C)(C)CCOP(=O)(O)OC[C@@H](CO)O,258.1106,C8H21NO6P,439285,NA
C00674,C[C@]12CCC(=O)C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C,288.2089,C19H28O2,222865,CHEBI:15994
C00695,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C,408.2876,C24H40O5,221493,CHEBI:16359
C00696,CCCCC[C@@H](/C=C/[C@@H]1[C@H]([C@H](CC1=O)O)C/C=C\CCCC(=O)O)O,352.225,C20H32O5,448457,CHEBI:15555
C00705,C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)COP(=O)(O)OP(=O)(O)O)O,387.0233,C9H15N3O10P2,150855,CHEBI:28846
C00712,CCCCCCCC/C=C\CCCCCCCC(=O)O,282.2559,C18H34O2,445639,CHEBI:16196
C00716,C(C(C(=O)O)N)O,105.0426,C3H7NO3,617,CHEBI:17822
C00719,C[N+](C)(C)CC(=O)[O-],117.079,C5H11NO2,247,CHEBI:17750
C00725,C1CSSC1CCCCC(=O)O,206.0435,C8H14O2S2,864,CHEBI:16494
C00735,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O,362.2093,C21H30O5,5754,CHEBI:17650
C00741,CC(=O)C(=O)C,86.0368,C4H6O2,650,CHEBI:16583
C00745,CN1CCC[C@H]1C2=CN=CC=C2,162.1157,C10H14N2,89594,CHEBI:17688
C00746,CC[C@H](C)[C@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CSSC[C@@H](C(=O)N[C@H](C(=O)N1)CC2=CC=C(C=C2)O)N)C(=O)N3CCC[C@H]3C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N)CC(=O)N)CCC(=O)N,1006.4365,C43H66N12O12S2,439302,CHEBI:7872
C00750,C(CCNCCCN)CNCCCN,202.2157,C10H26N4,1103,CHEBI:15746
C00751,CC(=CCC/C(=C/CC/C(=C/CC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)/C)/C)C,410.3913,C30H50,638072,CHEBI:15440
C00755,COC1=C(C=CC(=C1)C=O)O,152.0473,C8H8O3,1183,CHEBI:18346
C00762,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2C(=O)C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C,360.1937,C21H28O5,222786,CHEBI:16962
C00763,C1C[C@@H](NC1)C(=O)O,115.0633,C5H9NO2,6971012,CHEBI:16313
C00777,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C,300.2089,C20H28O2,444795,CHEBI:15367
C00780,C1=CC2=C(C=C1O)C(=CN2)CCN,176.095,C10H12N2O,5202,CHEBI:28790
C00785,C1=C(NC=N1)/C=C/C(=O)O,138.0429,C6H6N2O2,736715,CHEBI:27248
C00788,CNC[C@@H](C1=CC(=C(C=C1)O)O)O,183.0895,C9H13NO3,5816,CHEBI:28918
C00791,CN1CC(=O)N=C1N,113.0589,C4H7N3O,588,CHEBI:16737
C00794,C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O,182.079,C6H14O6,5780,CHEBI:17924
C00795,C1[C@H]([C@@H]([C@@H](C(O1)(CO)O)O)O)O,180.0634,C6H12O6,439312,CHEBI:4249
C00803,CCCCC(=O)O,102.0681,C5H10O2,7991,CHEBI:17418
C00805,C1=CC=C(C(=C1)C(=O)O)O,138.0317,C7H6O3,338,CHEBI:16914
C00811,C1=CC(=CC=C1/C=C/C(=O)O)O,164.0473,C9H8O3,637542,CHEBI:32374
C00813,C1C(=O)NC(=O)NC1=O,128.0222,C4H4N2O3,6211,CHEBI:16294
C00814,COC1=CC=C(C=C1)C2=COC3=CC(=CC(=C3C2=O)O)O,284.0685,C16H12O5,5280373,CHEBI:17574
C00815,CC(CC(=O)O)(C(=O)O)O,148.0372,C5H8O5,1081,CHEBI:15584
C00818,[C@H]([C@@H]([C@@H](C(=O)O)O)O)([C@H](C(=O)O)O)O,210.0376,C6H10O8,33037,CHEBI:16002
C00829,C1=CC=C2C=CC=CC2=C1,128.0626,C10H8,931,CHEBI:16482
C00831,CC(C)(CO)[C@H](C(=O)NCCC(=O)NCCS)O,278.13,C11H22N2O4S,439322,CHEBI:16753
C00835,C[C@@H](C(=O)C1=NC2=C(NC1)NC(=NC2=O)N)O,237.0862,C9H11N5O3,65253,NA
C00836,CCCCCCCCCCCCCCC[C@H]([C@H](CO)N)O,301.2981,C18H39NO2,91486,CHEBI:16566
C00844,C1=CC=C(C=C1)[C@H](C#N)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O,295.1056,C14H17NO6,119033,CHEBI:17396
C00847,CC1=NC=C(C(=C1O)C(=O)O)CO,183.0532,C8H9NO4,6723,CHEBI:17405
C00852,C1[C@H]([C@H]([C@@H](C[C@@]1(C(=O)O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O,354.0951,C16H18O9,1794427,CHEBI:16112
C00857,C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C4N=CN=C5N)O)O)O)O)C(=O)O,665.101,C21H27N6O15P2,165491,NA
C00858,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O,268.0736,C16H12O4,5280378,CHEBI:18088
C00860,C1=C(NC=N1)C[C@@H](CO)N,141.0902,C6H11N3O,165271,CHEBI:16255
C00864,CC(C)(CO)[C@H](C(=O)NCCC(=O)O)O,219.1107,C9H17NO5,6613,NA
C00879,[C@@H]([C@@H]([C@H](C(=O)O)O)O)([C@@H](C(=O)O)O)O,210.0376,C6H10O8,3037582,CHEBI:30852
C00881,C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)CO)O,227.0906,C9H13N3O4,13711,CHEBI:15698
C00882,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O)[C@H](C(=O)NCCC(=O)NCCS)O,687.1489,C21H35N7O13P2S,444485,CHEBI:15468
C00906,CC1CNC(=O)NC1=O,128.0586,C5H8N2O2,93556,CHEBI:27468
C00918,C1=CC(=CC=C1[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],322.0123,C11H12Cl2N2O5,5959,CHEBI:17698
C00931,C1=C(C(=C(N1)CN)CC(=O)O)CCC(=O)O,226.0954,C10H14N2O4,1021,CHEBI:17381
C00951,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,272.1776,C18H24O2,5757,CHEBI:16469
C00954,C1=CC=C2C(=C1)C(=CN2)CC(=O)O,175.0633,C10H9NO2,802,CHEBI:16411
C00955,C1=CC=C2C(=C1)C(=CN2)CCO,161.0841,C10H11NO,10685,CHEBI:17890
C00956,C(C[C@@H](C(=O)O)N)CC(=O)O,161.0688,C6H11NO4,59066632,CHEBI:37023
C00957,C(C(=O)C(=O)O)S,119.9881,C3H4O3S,98,CHEBI:16208
C00959,CCCCC[C@@H](/C=C/C1=C(C(=O)CC1)CCCCCCC(=O)O)O,336.2301,C20H32O4,5280388,CHEBI:27624
C00961,COC1=C2C(=C3[C@@H]4C=CO[C@@H]4OC3=C1)OC5=C(C2=O)C(=CC=C5)O,324.0634,C18H12O6,5280389,CHEBI:18227
C00978,CC(=O)NCCC1=CNC2=C1C=C(C=C2)O,218.1055,C12H14N2O2,903,CHEBI:17697
C00979,CC(=O)OC[C@@H](C(=O)O)N,147.0532,C5H9NO4,6971051,CHEBI:17981
C00986,C(CN)CN,74.0844,C3H10N2,428,CHEBI:15725
C00993,C[C@H](C(=O)N[C@H](C)C(=O)O)N,160.0848,C6H12N2O3,20112020,NA
C01005,C([C@@H](C(=O)O)N)OP(=O)(O)O,185.0089,C3H8NO6P,57689797,CHEBI:15811
C01013,C(CO)C(=O)O,90.0317,C3H6O3,68152,CHEBI:33404
C01017,C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)O)N,220.0848,C11H12N2O3,144,CHEBI:28171
C01020,C1=CC(=O)NC=C1C(=O)O,139.0269,C6H5NO3,72924,CHEBI:16168
C01026,CN(C)CC(=O)O,103.0633,C4H9NO2,673,CHEBI:17724
C01029,CC(=O)NCCCCNCCCN,187.1685,C9H21N3O,123689,NA
C01035,C(CC(=O)O)CN=C(N)N,145.0851,C5H11N3O2,25200642,CHEBI:15728
C01040,C([C@@H]([C@@H]1[C@@H]([C@@H](C(=O)O1)O)O)O)O,178.0477,C6H10O6,439373,CHEBI:17587
C01042,CC(=O)N[C@@H](CC(=O)O)C(=O)O,175.0481,C6H9NO5,65065,CHEBI:21547
C01081,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)(O)O,345.0786,C12H18N4O4PS,1131,NA
C01083,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O)O)O,342.1162,C12H22O11,7427,CHEBI:16551
C01089,C[C@H](CC(=O)O)O,104.0473,C4H8O3,92135,CHEBI:17066
C01092,CC(C(=O)CCCCCC(=O)O)N,187.1208,C9H17NO3,173,CHEBI:15830
C01094,C([C@@H]1[C@H]([C@@H](C(O1)(COP(=O)(O)O)O)O)O)O,260.0297,C6H13O9P,439394,NA
C01100,C1=C(NC=N1)C[C@@H](COP(=O)(O)O)N,221.0565,C6H12N3O4P,439398,CHEBI:16996
C01102,C(COP(=O)(O)O)[C@@H](C(=O)O)N,199.0246,C4H10NO6P,151187,CHEBI:15961
C01104,C[N+](C)(C)[O-],75.0684,C3H9NO,1145,CHEBI:15724
C01108,C1=CC(=C(C(=C1)O)O)O,126.0317,C6H6O3,1057,CHEBI:16164
C01118,C(COC(=O)CCC(=O)O)[C@@H](C(=O)O)N,219.0743,C8H13NO6,439406,CHEBI:16160
C01152,CN1C=NC=C1C[C@@H](C(=O)O)N,169.0851,C7H11N3O2,64969,CHEBI:27596
C01157,C1[C@H](CN[C@@H]1C(=O)O)O,131.0582,C5H9NO3,5810,CHEBI:18095
C01161,C1=CC(=C(C=C1CC(=O)O)O)O,168.0423,C8H8O4,547,NA
C01164,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3C2=CC=C4[C@@]3(CC[C@@H](C4)O)C)C,384.3392,C27H44O,439423,CHEBI:17759
C01176,CC(=O)[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)O,330.2195,C21H30O3,6238,CHEBI:17252
C01179,C1=CC(=CC=C1CC(=O)C(=O)O)O,180.0423,C9H8O4,979,CHEBI:15999
C01182,C([C@H]([C@H](C(=O)COP(=O)(O)O)O)O)OP(=O)(O)O,309.9855,C5H12O11P2,123658,CHEBI:16710
C01185,C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O)C(=O)O,336.0484,C11H15NO9P,121992,CHEBI:15763
C01189,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3C2=CC[C@@H]4[C@@]3(CC[C@@H](C4)O)C)C,386.3549,C27H46O,65728,CHEBI:17168
C01216,C([C@H]([C@@H](CO)O)O)C(=O)C(=O)O,178.0477,C6H10O6,194024,CHEBI:17028
C01227,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CC=C4[C@@]3(CC[C@@H](C4)O)C,288.2089,C19H28O2,5881,CHEBI:28689
C01231,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OP(=O)(O)O)O)O)O)OP(=O)(O)O,339.996,C6H14O12P2,82400,CHEBI:18148
C01235,C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OC2[C@H]([C@H](C([C@H]([C@@H]2O)O)O)O)O)O)O)O)O,342.1162,C12H22O11,NA,NA
C01251,C(C[C@@](CC(=O)O)(C(=O)O)O)C(=O)O,206.0427,C7H10O7,439459,CHEBI:52222
C01260,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OC[C@@H]4[C@H]([C@H]([C@@H](O4)N5C=NC6=C5N=CN=C6N)O)O)O)O,836.0483,C20H28N10O19P4,21706,CHEBI:17422
C01261,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OC[C@@H]4[C@H]([C@H]([C@@H](O4)N5C=NC6=C5NC(=NC6=O)N)O)O)O)O)NC(=NC2=O)N,868.0381,C20H28N10O21P4,165186,CHEBI:15883
C01262,CN1C=NC=C1C[C@@H](C(=O)O)NC(=O)CCN,240.1222,C10H16N4O3,112072,CHEBI:18323
C01312,CCCCC[C@@H](/C=C/[C@H]1[C@@H](C[C@H]2[C@@H]1CC(=CCCCC(=O)O)O2)O)O,352.225,C20H32O5,5282411,CHEBI:15552
C01367,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)OP(=O)(O)O)O,347.0631,C10H14N5O7P,41211,CHEBI:28931
C01384,C(=C\C(=O)O)\C(=O)O,116.011,C4H4O4,444266,CHEBI:18300
C01419,C([C@@H](C(=O)NCC(=O)O)N)S,178.0412,C5H10N2O3S,439498,CHEBI:61694
C01424,C1=C(C=C(C(=C1O)O)O)C(=O)O,170.0215,C7H6O5,370,CHEBI:30778
C01425,C(CC(=O)O)[C@@H](C(=O)N[C@@H](CCC(=O)O)C(=O)O)N,276.0958,C10H16N2O7,439500,CHEBI:5390
C01474,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3)O)O,240.0423,C14H8O4,6293,CHEBI:16866
C01477,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,270.0528,C15H10O5,5280443,CHEBI:18388
C01481,C1=CC(=C(C=C1/C=C/C(=O)O)O)O,180.0423,C9H8O4,689043,CHEBI:16433
C01494,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,194.0579,C10H10O4,445858,CHEBI:17620
C01507,C([C@@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O,182.079,C6H14O6,5460044,CHEBI:18202
C01514,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,286.0477,C15H10O6,5280445,CHEBI:15864
C01531,CC\1=C(C2=C(/C1=C\C3=CC=C(C=C3)S(=O)C)C=CC(=C2)F)CC(=O)O,356.0882,C20H17FO3S,1548887,CHEBI:9352
C01541,CC(=O)CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O,308.1049,C19H16O4,54678486,CHEBI:10033
C01546,C1=COC(=C1)C(=O)O,112.016,C5H4O3,6919,CHEBI:30845
C01551,C1(C(=O)NC(=O)N1)NC(=O)N,158.044,C4H6N4O3,204,CHEBI:15676
C01561,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](CCC3=C)O)C,400.3341,C27H44O2,5283731,CHEBI:17933
C01571,CCCCCCCCCC(=O)O,172.1463,C10H20O2,2969,CHEBI:30813
C01575,C[C@@H]([C@@H](C1=CC=CC=C1)O)NC,165.1154,C10H15NO,9294,CHEBI:15407
C01585,CCCCCC(=O)O,116.0837,C6H12O2,8892,CHEBI:30776
C01586,C1=CC=C(C=C1)C(=O)NCC(=O)O,179.0582,C9H9NO3,464,CHEBI:18089
C01588,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,206.1307,C13H18O2,3672,CHEBI:5855
C01589,C1=CN=CN1,68.0374,C3H4N2,795,CHEBI:16069
C01595,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,280.2402,C18H32O2,5280450,CHEBI:17351
C01598,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,232.1212,C13H16N2O2,896,CHEBI:16796
C01601,CCCCCCCCC(=O)O,158.1307,C9H18O2,8158,CHEBI:29019
C01606,C1=CC=C(C(=C1)C(=O)O)C(=O)O,166.0266,C8H6O4,1017,CHEBI:29069
C01607,CC(C)CCCC(C)CCCC(C)CCCC(C)CC(=O)O,312.3028,C20H40O2,26840,CHEBI:16285
C01613,C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OC[C@@H]2[C@@H]([C@@H]([C@H]([C@H](O2)OC[C@@H]3[C@H]([C@@H]([C@H]([C@H](O3)O[C@]4([C@H]([C@@H]([C@H](O4)CO)O)O)CO)O)O)O)O)O)O)O)O)O)O,666.2219,C24H42O21,439531,CHEBI:17164
C01672,C(CCN)CCN,102.1157,C5H14N2,273,CHEBI:18127
C01674,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O[C@@H]2[C@H](OC([C@@H]([C@H]2O)NC(=O)C)O)CO)CO)O)O,424.1693,C16H28N2O11,439544,CHEBI:28681
C01694,C[C@H](/C=C/[C@H](C)C(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3C2=CC=C4[C@@]3(CC[C@@H](C4)O)C)C,396.3392,C28H44O,444679,CHEBI:16933
C01697,C([C@H]([C@@H]([C@@H]([C@H](CO)O)O)O)O)O,182.079,C6H14O6,11850,CHEBI:16813
C01716,CC(C1=CC=CC(=C1)C(=O)C2=CC=CC=C2)C(=O)O,254.0943,C16H14O3,3825,NA
C01717,C1=CC=C2C(=C1)C(=O)C=C(N2)C(=O)O,189.0426,C10H7NO3,3845,CHEBI:18344
C01724,C[C@H](CCC=C(C)C)[C@H]1CC[C@@]2([C@@]1(CCC3=C2CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C,426.3862,C30H50O,246983,CHEBI:16521
C01727,CC1=CC2=C(C=C1C)N=C3C(=N2)C(=O)NC(=O)N3,242.0804,C12H10N4O2,5326566,CHEBI:17781
C01728,C([C@@H]1[C@H]([C@@H]([C@@H]([C@H](O1)OC[C@@H]2[C@H]([C@@H]([C@@H]([C@H](O2)O)O)O)O)O)O)O)O,342.1162,C12H22O11,439557,CHEBI:62357
C01732,C/C(=C\C(=O)O)/C(=O)O,130.0266,C5H6O4,638129,CHEBI:16600
C01747,CCCCCCCCCCCCC/C=C/[C@H]([C@H](CO[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)O)O)N)O,461.3353,C24H47NO7,5280458,CHEBI:16874
C01750,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O,448.1006,C21H20O11,5280459,CHEBI:17558
C01751,C1=CC(=CC(=C1)O)O,110.0368,C6H6O2,5054,CHEBI:27810
C01752,COC1=C(C=C2C(=C1)C=CC(=O)O2)O,192.0423,C10H8O4,5280460,CHEBI:17488
C01756,C1=NC2=C(N1)C(=S)N=CN2,152.0157,C5H4N4S,667490,CHEBI:2208
C01762,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)NC(=O)NC2=O,284.0757,C10H12N4O6,64959,CHEBI:18107
