kegg1,kegg2,smiles1,smiles2,mass1,mass2,formula1,formula2
C00294,C01993,C1=NC(=O)C2=C(N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,C1=NC(=O)C2=C(N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)C=O)O)O,268.0808,266.0651,C10H12N4O5,C10H10N4O5
C01993,C11631,C1=NC(=O)C2=C(N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)C=O)O)O,C1=NC(=O)C2=C(N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)C(=O)O)O)O,266.0651,282.06,C10H10N4O5,C10H10N4O6
C00294,C11631,C1=NC(=O)C2=C(N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,C1=NC(=O)C2=C(N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)C(=O)O)O)O,268.0808,282.06,C10H12N4O5,C10H10N4O6
C00829,C04314,C1=CC=C2C=CC=CC2=C1,C1=CC=C2[C@H]([C@H](C=CC2=C1)O)O,128.0626,162.0681,C10H8,C10H10O2
C03012,C04314,C1=CC=C2C(=C1)C=CC(=C2O)O,C1=CC=C2[C@H]([C@H](C=CC2=C1)O)O,160.0524,162.0681,C10H8O2,C10H10O2
C03012,C06205,C1=CC=C2C(=C1)C=CC(=C2O)O,C1=CC=C2C(C(C=CC2=C1)O)O,160.0524,162.0681,C10H8O2,C10H10O2
C04164,C06358,C1=CC=C(C=C1)/C=C/C(=O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O,COC(=O)/C=C/C1=CC=CC=C1,310.1053,162.0681,C15H18O7,C10H10O2
C00083,C12088,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)CC(=O)O)O,CC(=O)/C=C/C1=CC=C(C=C1)O,853.1156,162.0681,C24H38N7O19P3S,C10H10O2
C00223,C12088,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)/C=C/C4=CC=C(C=C4)O)O,CC(=O)/C=C/C1=CC=C(C=C1)O,913.152,162.0681,C30H42N7O18P3S,C10H10O2
C06205,C14784,C1=CC=C2C(C(C=CC2=C1)O)O,C1=CC=C2C3C(O3)C(C(C2=C1)O)O,162.0681,178.063,C10H10O2,C10H10O3
C01494,C02666,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,COC1=C(C=CC(=C1)/C=C/C=O)O,194.0579,178.063,C10H10O4,C10H10O3
C00590,C02666,COC1=C(C=CC(=C1)/C=C/CO)O,COC1=C(C=CC(=C1)/C=C/C=O)O,180.0786,178.063,C10H12O3,C10H10O3
C01173,C01624,C1=CC2=CC(=CC(=C2C(=C1)O)O)O,C1C(CC(=O)C2=C1C=CC=C2O)O,176.0473,178.063,C10H8O3,C10H10O3
C00019,C02666,C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O,COC1=C(C=CC(=C1)/C=C/C=O)O,398.1372,178.063,C15H22N6O5S,C10H10O3
C00406,C02666,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)/C=C/C4=CC(=C(C=C4)O)OC)O,COC1=C(C=CC(=C1)/C=C/C=O)O,943.1626,178.063,C31H44N7O19P3S,C10H10O3
C02666,C12204,COC1=C(C=CC(=C1)/C=C/C=O)O,COC1=CC(=CC(=C1O)O)/C=C/C=O,178.063,194.0579,C10H10O3,C10H10O4
C05610,C12204,COC1=CC(=CC(=C1O)OC)/C=C/C=O,COC1=CC(=CC(=C1O)O)/C=C/C=O,208.0736,194.0579,C11H12O4,C10H10O4
C00019,C01494,C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,398.1372,194.0579,C15H22N6O5S,C10H10O4
C00406,C01494,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)/C=C/C4=CC(=C(C=C4)O)OC)O,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,943.1626,194.0579,C31H44N7O19P3S,C10H10O4
C12203,C12204,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)/C=C/C4=CC(=C(C(=C4)OC)O)O)O,COC1=CC(=CC(=C1O)O)/C=C/C=O,959.1575,194.0579,C31H44N7O20P3S,C10H10O4
C01197,C01494,C1=CC(=C(C=C1/C=C/C(=O)O)O)O,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,180.0423,194.0579,C9H8O4,C10H10O4
